id	english_name
1	Cabbage
2	King Cabbage
3	Pink Turnip
4	Colossal Pink
5	Pink Melon
6	Conqueror Melon
7	Onion
8	Ultra Onion
9	Pumpkin
10	Doom Pumpkin
11	Cucumber
12	Kaiser Cucumber
13	Corn
14	Gigant Corn
15	Tomato
16	Titan Tomato
17	Eggplant
18	Emperor Eggplant
19	Yam
20	Lordly Yam
21	Potato
22	Princely Potato
23	Carrot
24	Royal Carrot
25	Green Pepper
26	Green Pepper Rex
27	Spinach
28	Sovereign Spinach
29	Turnip
30	Tyrant Turnip
31	Radish
32	Noble Radish
33	Leek
34	Legendary Leek
35	Bok Choy
36	Boss Bok Choy
37	Hot-Hot Fruit
38	Giant Hot-Hot Fruit
39	Golden Cabbage
40	Golden King Cabbage
41	Golden Pumpkin
42	Gldn. Doom Pumpkin
43	Golden Potato
44	Gold Prince Potato
45	Golden Turnip
46	Golden Tyrant Turnip
47	Bamboo Sprout
48	Mushroom
49	Mushroom
50	Mushroom
51	Mushroom
52	Mushroom
53	Mushroom
54	Monarch Mushroom
55	[Meteor Strawberry]
56	[Meteor Corn]
57	[Meteor Pumpkin]
58	[Meteor Potato]
100	Grapes
101	Apple
102	Mealy Apple
103	Orange
104	Strawberry
105	Sultan Strawberry
106	Pineapple
107	King Pineapple
150	Toyherb
151	Ultra Toyherb
152	Moondrop Flower
153	Ultra Moondrop Flower
154	Pink Cat
155	King Pink Cat
156	Charm Blue
157	Great Charm Blue
158	Cherry Grass
159	King Cherry Grass
160	Lamp Grass
161	Kaiser Lamp Grass
162	Blue Crystal
163	Big Blue Crystal
164	Emery Flower
165	Great Emery Flower
166	Ironleaf
167	Super Ironleaf
168	4-Leaf Clover
169	Great 4-Leaf Clover
170	Fireflower
171	Big Fireflower
172	Green Crystal
173	Big Green Crystal
174	Noel Grass
175	Large Noel Grass
176	Autumn Grass
177	Big Autumn Grass
178	Pom-Pom Grass
179	King Pom-Pom Grass
180	Red Crystal
181	Big Red Crystal
182	White Crystal
183	Big White Crystal
184	Medicinal Herb
185	Antidote Grass
186	Black Grass
187	Orange Grass
188	Red Grass
189	Yellow Grass
190	Blue Grass
191	Green Grass
192	Purple Grass
193	Indigo Grass
194	White Grass
195	Weeds
196	Withered Grass
197	Ayngondaia Lawn
200	Failed Dish
201	Disastrous Dish
250	Trout Sashimi
251	Char Sashimi
252	Rainbow Sashimi
253	Salmon Sashimi
254	Cherry Sashimi
255	Taimen Sashimi
256	Snapper Sashimi
257	Glitter Sashimi
258	Lover Sashimi
259	Girella Sashimi
260	Skipjack Sashimi
261	Yellowtail Sashimi
262	Tuna Sashimi
263	Sardine Sashimi
264	Needlefish Sashimi
265	Pike Sashimi
266	Flounder Sashimi
267	Turbot Sashimi
268	Fall Sashimi
269	Squid Sashimi
270	Sunsquid Sashimi
271	Lamp Squid Sashimi
272	Blowfish Sashimi
273	Lobster Sashimi
274	Shrimp Sashimi
275	[Sunfish Sashimi]
276	[Golden Eye Snapper Sashimi]
300	Fried Veggies
301	Fried Rice
302	Cabbage Cakes
303	French Fries
304	Croquettes
305	Popcorn
306	Corn Cereal
307	Miso Eggplant
308	Fried Eggs
309	Omelet
310	Omelet Rice
311	Baked Apple
312	Curry Bread
313	French Toast
314	Donut
315	Fried Udon
316	Tempura
317	Pancakes
318	Gyoza
319	Risotto
320	Dry Curry
321	Salted Masu Trout
322	Salted Char
323	Salted R. Trout
324	Salted C. Salmon
325	Salted Chub
326	Salted Salmon
327	Salted Taimen
328	Grilled C. Carp
329	Grilled Gibelio
330	Grilled Snapper
331	Grilled Girella
332	Grilled G. Snapper
333	Grilled L. Snapper
334	Grilled Skipjack
335	Grilled Mackerel
336	Grilled Yellowtail
337	Salted Pond Smelt
338	Tuna Teriyaki
339	Dried Sardines
340	Grilled Needlefish
341	Salted Pike
342	Grilled Flounder
343	Grilled Turbot
344	Grilled F.Flounder
345	Grilled Squid
346	Grilled Sunsquid
347	Grilled Lamp Squid
348	Grilled Blowfish
349	Grilled Lobster
350	Grilled Shrimp
351	Grilled S.Flounder
352	[Star Popcorn]
353	[Star Hash Browns]
354	[Sautéed Swordfish]
355	[Cutlassfish Tamago Toji]
356	[Grilled Butter Abalone]
357	[Grilled King Crab]
358	[Golden Salmon Meunière]
400	Hot Milk
401	Hot Chocolate
402	Grape Liqueur
403	Boiled Pumpkin
404	Boiled Spinach
405	Boiled Egg
406	Glazed Yam
407	Boiled Gyoza
408	Strawberry Jam
409	Apple Jam
410	Grape Jam
411	Marmalade
412	Cheese Fondue
413	Udon
414	Curry Udon
415	Tempura Udon
416	Rice Porridge
417	Milk Porridge
418	Tempura Bowl
419	Egg Bowl
420	Stew
421	Curry Rice
422	Ultimate Curry
423	Royal Curry
424	Relax Tea
425	Grilled Miso
426	Union Stew
427	Rockfish Stew
428	[Star Strawberry Jam]
429	[Spanish Mackerel Stew]
450	Corn on the Cob
451	Baked Onigiri
452	Sweet Potato
453	Toast
454	Jam Roll
455	Butter Roll
456	Pizza
457	Seafood Pizza
458	Doria
459	Seafood Doria
460	Gratin
461	Seafood Gratin
462	Yam of the Ages
463	Cookie
464	Choco Cookie
465	Cake
466	Chocolate Cake
467	Cheesecake
468	Apple Pie
500	Pineapple Juice
501	Tomato Juice
502	Grape Juice
503	Orange Juice
504	Apple Juice
505	Strawberry Milk
506	Fruit Juice
507	Fruit Smoothie
508	Vegetable Juice
509	Veggie Smoothie
510	Mixed Juice
511	Mixed Smoothie
512	Ketchup
513	Butter
514	Gold Juice
515	Prelude to Love
516	Hot Juice
550	Steamed Bread
551	Cheese Bread
552	Meat Dumpling
553	Chinese Manju
554	Curry Manju
555	Steamed Gyoza
556	Pound Cake
557	Chocolate Sponge
558	Flan
559	Pumpkin Flan
560	Dumplings
561	[Star Pumpkin Pudding]
600	Salad
601	Sandwich
602	Fruit Sandwich
603	Pickled Turnip
604	Pickles
605	Bamboo Rice
606	Raisin Bread
607	Ice Cream
608	Relax Tea Leaves
609	Onigiri
610	Bread
611	Salmon Onigiri
612	Pickle Mix
613	Turnip Heaven
614	[Octopus Rice]
615	[Golden Octopus Rice]
650	Rice
651	Chocolate
652	Wine
653	Elli Leaves
700	Milk (S)
701	Milk (M)
702	Milk (L)
703	Egg (S)
704	Egg (M)
705	Egg (L)
706	Mayonnaise
707	Cheese
708	Yogurt
709	Honey
750	Flour
751	Oil
752	Curry Powder
753	Rice Flour
800	Turnip Seeds
801	Potato Seeds
802	Cucumber Seeds
803	Strawberry Seeds
804	Cabbage Seeds
805	Moondrop Seeds
806	Toyherb Seeds
807	Tomato Seeds
808	Corn Seeds
809	Onion Seeds
810	Pumpkin Seeds
811	Pineapple Seeds
812	Pink Cat Seeds
813	Eggplant Seeds
814	Carrot Seeds
815	Yam Seeds
816	Spinach Seeds
817	Green Pepper Seeds
818	Charm Blue Seeds
819	Fodder Seeds
820	Cherry Grass Seeds
821	Lamp Grass Seeds
822	Blue Crystal Seeds
823	Emery Flower Seeds
824	Ironleaf Seeds
825	Clover Seeds
826	Fireflower Seeds
827	Green Crystal Seeds
828	Noel Grass Seeds
829	Autumn Grass Seeds
830	Pom-Pom Grass Sds.
831	Red Crystal Seeds
832	White Crystal Seeds
833	Pink Turnip Seeds
834	Radish Seeds
835	Leek Seeds
836	Bok Choy Seeds
837	Gold Cabbage Seeds
838	Gold Pumpkin Seeds
839	Gold Potato Seeds
840	Gold Turnip Seeds
841	Gold Melon Seeds
842	Hot-Hot Seeds
843	Apple Tree Seeds
844	Orange Tree Seed
845	Grape Tree Seed
846	Shining Seed
848	Sword Seed
849	Shield Seed
850	[Meteor Seed]
900	Cheap Hoe
901	Sturdy Hoe
902	Seasoned Hoe
903	Shiny Hoe
904	Blessed Hoe
905	[General's Hoe]
906	Cheap Waterpot
907	Tin Waterpot
908	Lion Waterpot
909	Rainbow Waterpot
910	Joy Waterpot
911	Cheap Sickle
912	Iron Sickle
913	Quality Sickle
914	Super Sickle
915	Legendary Sickle
916	Cheap Hammer
917	Iron Hammer
918	Silver Hammer
919	Golden Hammer
920	Platinum Hammer
921	Cheap Axe
922	Chopping Axe
923	Lumber Axe
924	Mountain Axe
925	Miracle Axe
926	Cheap Pole
927	Beginner's Pole
928	Skilled Pole
929	Famous Pole
930	Sacred Pole
931	Brush
932	Clippers
933	Magnifying Glass
1000	Small Shield
1002	Iron Shield
1003	Monkey Plush
1004	Round Shield
1005	Turtle Shield
1006	Chaos Shield
1007	Bone Shield
1008	Magic Shield
1009	Heavy Shield
1010	Platinum Shield
1011	Kite Shield
1012	Knight Shield
1013	Element Shield
1014	Magical Shield
1015	Prism Shield
1016	Rune Shield
1017	Magic Plant Shield
1018	[General's Shield]
1019	[Guardian Shield]
1020	[Seven-Colored Shield]
1021	[Warrior's Shield]
1022	[Cheap Shield]
1023	[Cursed Shield]
1024	[Great Shield]
1025	[Platinum Shield+]
1026	[Yellow Shield]
1027	[Blue Shield]
1101	Blue Ribbon
1102	Green Ribbon
1103	Purple Ribbon
1104	Summer Headdress
1105	Spectacles
1106	Straw Hat
1107	Fancy Hat
1108	Brand Glasses
1110	Intelligent Glasses
1112	Black Ribbon
1114	Silk Hat
1116	Yellow Ribbon
1117	Autumn Headdress
1118	Cat Ears
1119	Red Ribbon
1120	Spring Headdress
1121	Orange Ribbon
1122	Winter Headdress
1123	White Ribbon
1124	Four Seasons
1126	Indigo Ribbon
1127	Crown
1128	Turnip Headgear
1129	Pumpkin Headgear
1130	[General's Hat]
1200	Shirt
1201	Vest
1202	Cotton Cloth
1203	Mail
1204	Chain Mail
1205	Scale Vest
1206	Sparkling Shirt
1207	Wind Cloak
1208	Protector
1209	Platinum Mail
1210	Lamellar Vest
1211	Mercenary's Cloak
1212	Wooly Shirt
1213	Elvish Cloak
1214	Dragon Cloak
1215	Power Protector
1216	Rune Vest
1217	Royal Garter
1218	Four Dragons' Vest
1219	[General's Robe]
1220	[Rubber Raincoat]
1250	Leather Boots
1251	Piyo Sandals
1252	Secret Shoes
1253	Silver Boots
1254	Heavy Boots
1255	Sneaking Boots
1256	Gold Boots
1257	Bone Boots
1258	Strider Boots
1259	Step-In Boots
1260	Feather Boots
1261	Ghost Boots
1262	Iron Geta
1263	Knight Boots
1264	Fairy Boots
1265	Rocket Wing
1266	[Spike Shoes]
1300	Cheap Bracelet
1301	Bronze Bracelet
1302	Silver Bracelet
1303	Gold Bracelet
1304	Platinum Bracelet
1305	Silver Ring
1306	Gold Ring
1307	Platinum Ring
1308	Shield Ring
1309	Critical Ring
1310	Silent Ring
1311	Paralysis Ring
1312	Poison Ring
1313	Magic Ring
1314	Throwing Ring
1315	Silver Hairpin
1316	Stay-up Ring
1317	Engagement Ring
1318	Aquamarine Ring
1319	Amethyst Ring
1320	Emerald Ring
1321	Sapphire Ring
1322	Ruby Ring
1323	Cursed Ring
1324	Diamond Ring
1325	Gold Hairpin
1326	Aquamarine Brooch
1327	Amethyst Brooch
1328	Emerald Brooch
1329	Sapphire Brooch
1330	Ruby Brooch
1331	Diamond Brooch
1332	Dolphin Brooch
1333	Fire Ring
1334	Wind Ring
1335	Water Ring
1336	Earth Ring
1337	Happy Ring
1338	Silver Pendant
1339	Star Pendant
1340	Sun Pendant
1341	Field Pendant
1342	Dew Pendant
1343	Earth Pendant
1344	Heart Pendant
1345	Strange Pendant
1346	Anette's Necklace
